번호,시설명,도로명전체주소,위도(EPSG4326),경도(EPSG4326)
170,회현지하쇼핑센터,"서울특별시 중구 소공로 지하 58 (충무로1가, 회현지하쇼핑센터)",37.56043831,126.9820613
171,명동지하쇼핑센터,"서울특별시 중구 남대문로 지하 72 (남대문로2가, 명동지하쇼핑센터)",37.56363702,126.9820766
172,6호선버티고개역지하철승강장,"서울특별시 중구 다산로 지하 38 (신당동, 버티고개역 6호선)",37.54794357,127.0069773
173,6호선신당역지하철승강장,"서울특별시 중구 다산로 지하 260 (흥인동, 신당역 6호선)",37.56624437,127.0161749
174,6호선약수역지하철승강장,"서울특별시 중구 다산로 지하 115 (신당동, 약수역 6호선)",37.55412449,127.0102533
175,청구역지하철승강장,"서울특별시 중구 청구로 지하 77 (신당동, 청구역 5,6호선)",37.56022965,127.0137596
176,을지로3구역지하쇼핑센터,"서울특별시 중구 을지로 지하131, 을지로3구역지하쇼핑 (을지로3가)",37.56638343,126.99263
177,1호선서울역지하철승강장,"서울특별시 중구 세종대로 지하 2 (남대문로5가, 서울역 1호선)",37.55692795,126.9725564
178,한국경제신문사 지하1~5층,"서울특별시 중구 청파로 463 (중림동, 한국경제신문사빌딩)",37.56070415,126.9676221
179,을지로4가역지하철승강장,"서울특별시 중구 을지로 지하 178 (을지로4가, 을지로4가역 2호선)",37.56661003,126.997811
180,2호선을지로3가역지하철승강장,"서울특별시 중구 을지로 지하 106 (을지로3가, 을지로3가역 2호선)",37.56624384,126.9902818
181,4호선충무로역지하철승강장,"서울특별시 중구 퇴계로 지하214, 충무로역 3,4호선 (필동2가)",37.5614376,126.9955382
182,묵정공원공영주차장 지하1~5층,"서울특별시 중구 퇴계로45길 32-12 (충무로5가, 묵정경노당)",37.56371583,126.9997943
184,중구청 지하1~3층,"서울특별시 중구 창경궁로 17 (예관동, 중구청)",37.5638811,126.9981803
185,쌍림빌딩 지하1층,"서울특별시 중구 퇴계로 286 (쌍림동, 쌍림빌딩)",37.56321394,127.0035511
186,을지로4구역지하쇼핑센터,"서울특별시 중구 을지로 지하 218 (을지로5가, 을지로4구역지하쇼핑)",37.56686789,127.0022931
187,동대문역사문화공원역지하철승강장,"서울특별시 중구 을지로 지하 279 (을지로7가, 동대문역사문화공원역 2호선)",37.56562587,127.0091546
188,청계5가지하쇼핑센터,"서울특별시 중구 동호로 지하 384 (방산동, 청계5가지하쇼핑센터)",37.56877078,127.0021377
189,중구구민회관 지하1~3층,"서울특별시 중구 을지로39길 40 (을지로6가, 구민회관)",37.56840432,127.005461
190,2호선신당역지하철승강장,서울특별시 중구 퇴계로 지하 431-1 (신당동),37.56566881,127.0195551
191,중구종합복지센터 지하1~2층,"서울특별시 중구 퇴계로 460, 중구종합복지센터 (신당동)",37.56514144,127.0227952
192,에이피엠 지하2~3층,"서울특별시 중구 마장로 40 (신당동, apM)",37.56782067,127.0139128
193,삼성홈타운신당아파트 지하주차장 1층,"서울특별시 중구 다산로42가길 43 (신당동, 삼성홈타운신당아파트)",37.56280295,127.0168322
194,신당동파라다이스아파트 지하주차장 1층,"서울특별시 중구 다산로42나길 46 (신당동, 신당동 파라다이스 아파트)",37.56253709,127.0174886
195,신당현대아파트 관리동 지하 2층,"서울특별시 중구 다산로36길 109 (신당동, 현대아파트)",37.55976779,127.0201091
196,신당삼성아파트 지하주차장,"서울특별시 중구 청구로1길 23 (신당동, 삼성아파트)",37.55840435,127.0167041
197,약수하이츠아파트 지하주차장,"서울특별시 중구 동호로10길 30 (신당동, 약수하이츠)",37.55491104,127.0123438
198,경향아트힐 지하1층,서울특별시 중구 정동길 3 (정동),37.56807891,126.9696352
199,대한항공 지하1~4층,"서울특별시 중구 서소문로 117 (서소문동, 대한항공빌딩)",37.56342337,126.9741672
200,농협중앙회 지하2~3층,"서울특별시 중구 새문안로 16 (충정로1가, 농업협동조합중앙회건물)",37.56684474,126.9680516
201,신당푸르지오아파트 지하주차장 1~3층,"서울특별시 중구 다산로36길 110 (신당동, 신당푸르지오)",37.55936835,127.0203027
202,남산타운아파트2(임대동) 지하1층,"서울특별시 중구 다산로 32 (신당동, 남산타운)",37.54759663,127.0067091
203,서울역디오빌 지하1~3층,"서울특별시 중구 만리재로 193 (만리동1가, 서울역 디오빌)",37.5549501,126.9671934
204,남산타운아파트1 (분양동)지하1층,"서울특별시 중구 다산로 32 (신당동, 남산타운)",37.54759663,127.0067091
205,중구청소년수련관 지하,"서울특별시 중구 동호로5길 19 (신당동, 중구청소년수련관)",37.55189629,127.0124087
206,남산타운문화체육센터 지하1층,"서울특별시 중구 다산로 32 (신당동, 남산타운)",37.54759663,127.0067091
207,손기정체육공원 지하주차장1~2층,"서울특별시 중구 손기정로 101 (만리동2가, 손기정공원)",37.55545537,126.9648206
208,중구회현체육센터 지하1층,"서울특별시 중구 퇴계로12길 78 (회현동1가, 중구회현체육센터)",37.55618587,126.9816407
209,서울특별시청 지하1~4층,"서울특별시 중구 세종대로 110 (태평로1가, 서울시청)",37.56620502,126.9777063
210,베네치아메가몰 지하3~4층,"서울특별시 중구 청계천로 400 (황학동, 롯데캐슬베네치아)",37.5715296,127.0217697
211,엘크루메트로시티 지하2~6층,"서울특별시 중구 충무로 13 (충무로3가, 엘크루메트로시티)",37.56237207,126.9928398
212,용산도서관 민방위대피시설(지하1층),"서울특별시 용산구 두텁바위로 160 (후암동, 용산도서관)",37.55208925,126.9798494
213,녹사평역(지하1~5층),"서울특별시 용산구 녹사평대로 지하195, 6호선 녹사평역 지하1~5층 (용산동4가)",37.53496414,126.9868758
215,전쟁기념사업회(지하1~2층),"서울특별시 용산구 이태원로 29, 전쟁기념관 지하1~2층 (용산동1가)",37.53496757,126.9772823
216,숙대입구역(지하1~2층),"서울특별시 용산구 한강대로 지하306, 숙대입구역 지하1~2층 (갈월동)",37.5452479,126.9719097
218,예안빌딩(아트센타)(지하1~3층),"서울특별시 용산구 한강대로 329, 지하1~3층 (갈월동)",37.54777397,126.9715159
219,남영동주민센터(지하1층),"서울특별시 용산구 두텁바위로 25, 남영동 주민센터 지하1층층 (갈월동)",37.54557648,126.9749662
220,소화아동병원(지하1층),"서울특별시 용산구 청파로 383, 종근당건강빌딩 지하 1층 (서계동)",37.5537591,126.9687695
221,숙명여자대학교(지하1~2층),"서울특별시 용산구 청파로47길 100, 숙명여자대학교 지하 1~3층 (청파동2가)",37.54531633,126.9648827
222,리버힐삼성아파트(지하1~4층),"서울특별시 용산구 효창원로 17, 지하1~4층 (산천동, 리버힐삼성아파트)",37.53463692,126.9514069
223,효창공원앞역(지하1~3층),"서울특별시 용산구 백범로 지하 287 (효창동, 6호선효창공원앞역)",37.53941679,126.9611995
224,도원삼성래미안아파트(지하1층~지하4층),"서울특별시 용산구 새창로 70 (도원동, 삼성래미안아파트)",37.53968201,126.9569394
225,삼각지역(지하1~4층),"서울특별시 용산구 한강대로 지하180, 4호선 삼각지역 지하1~4층 (한강로1가)",37.53464417,126.9731128
226,신용산역(지하1~2층),"서울특별시 용산구 한강대로 지하112, 4호선 신용산역 지하1~2층 (한강로2가)",37.52967649,126.9684497
227,LS용산타워(국제빌딩)(지하1~4층),"서울특별시 용산구 한강대로 92, LS용산타워 지하1~4층 (한강로2가)",37.52821733,126.9673657
228,지하철 이촌역(지하1~2층),"서울특별시 용산구 서빙고로 지하83, 4호선 이촌역 지하1~2층 (용산동5가)",37.52266385,126.9733895
